y;x1;x2;x3;x4;x5;x6
3.7;75    ;3    ;5    ;16    ;2;2.7
3.9;53    ;8    ;13    ;16    ;1.6;3.2
4.6;61    ;7    ;12    ;8    ;0.2;3.5
3.3;83    ;7    ;22    ;12    ;1.3;2.6
3.5;74    ;6    ;43    ;12    ;2;3
4.0;57    ;2    ;3    ;16    ;0.5;2.5
4.0;49    ;7    ;3    ;12    ;0.6;2.9
4.7;207    ;30    ;102    ;8    ;0.1;2
4.0;30    ;1    ;12    ;8    ;1;3.5
3.9;110    ;16    ;154    ;8    ;1;3
4.7;158    ;8    ;197    ;8    ;0;0
4.6;77    ;5    ;36    ;8    ;0.5;2
